comments,rating,helpful,label
"Jason White\na year ago\nEven 8 years later, this game is easily one of the best that you can buy.\n\nWhilst GTA Online has gone in a direction I don't like - and wouldn't really recommend in engaging very much with to complete newcomers by this stage - I can't ignore that it still has thousands of hours to offer players across a variety of different activities - there's something for everyone in GTA Online and it will also make them money whilst they're at it.\n\nSingle Player is also undeniably a brilliant experience. Even though it will take you a while to get through to the end of the story, there's really no excuse for not playing it through at least once.\n\nA lot of us have got a bit tired of this game in the many years since it's original release, but from an objective point of view, even if this game released for the very first time this year, it would still be one of the best video games ever made and blow us all away.\n\nThe driving is much easier than GTA 4, literally anyone can be a decent driver in GTA 5 unless you have brain damage, but I guess it makes it more accessible, lol. Shooting is also much improved and is high quality, and those two elements combined with many others, including but not limited to the excellent map, make this game a perfect sandbox.\n262 people found this helpful.\nHelpful\nUnhelpful",5,262,Good
"Connor Pearson\na year ago\nEven 8 years later, this game is easily one of the best that you can buy.\n\nWhilst GTA Online has gone in a direction I don't like - and wouldn't really recommend in engaging very much with to complete newcomers by this stage - I can't ignore that it still has thousands of hours to offer players across a variety of different activities - there's something for everyone in GTA Online and it will also make them money whilst they're at it.\n\nSingle Player is also undeniably a brilliant experience. Even though it will take you a while to get through to the end of the story, there's really no excuse for not playing it through at least once.\n\nA lot of us have got a bit tired of this game in the many years since it's original release, but from an objective point of view, even if this game released for the very first time this year, it would still be one of the best video games ever made and blow us all away.\n\nThe driving is much easier than GTA 4, literally anyone can be a decent driver in GTA 5 unless you have brain damage, but I guess it makes it more accessible, lol. Shooting is also much improved and is high quality, and those two elements combined with many others, including but not limited to the excellent map, make this game a perfect sandbox.\n217 people found this helpful.\nHelpful\nUnhelpful",5,217,Good
"Aleksandras Kybartas\na year ago\nGrand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the first main entry in the Grand Theft Auto series since 2008's Grand Theft Auto IV. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and arms smuggler Trevor Philips—and their efforts to commit heists while under pressure from a corrupt government agency and powerful crime figures. The open world design lets players freely roam San Andreas' open countryside and the fictional city of Los Santos, based on Los Angeles.\n\nThe game is played from either a third-person or first-person perspective, and its world is navigated on foot or by vehicle. Players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. The story is centred on the heist sequences, and many missions involve shooting and driving gameplay. A ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. Grand Theft Auto Online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.\n\nThe game's development began soon after Grand Theft Auto IV's release and was shared between many of Rockstar's studios worldwide. The development team drew influence from many of their previous projects such as Red Dead Redemption and Max Payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. Much of the development work constituted the open world's creation, and several team members conducted field research around California to capture footage for the design team. The game's soundtrack features an original score composed by a team of producers who collaborated over several years. It was released in September 2013 for PlayStation 3 and Xbox 360, in November 2014 for PlayStation 4 and Xbox One, and April 2015 for Microsoft Windows. PlayStation 5 and Xbox Series X versions are scheduled to release in late 2021.\n\nExtensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. It received widespread critical acclaim, with praise directed at its multiple protagonist design, open world, presentation and gameplay. However, it caused controversies related to its depiction of violence and women. Considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made, it won year-end accolades including Game of the Year awards from several gaming publications. It is the second best-selling video game of all time with over 135 million copies shipped and one of the most financially successful entertainment products of all time, with about $6 billion in worldwide revenue.\n51 people found this helpful.\nHelpful\nUnhelpful",5,51,Good
"MINECRAFT ROBLOX ALL GAMING\n2 years ago\nGrand Theft Auto V is a 2013 action-adventure game developed by Rockstar North and published by Rockstar Games. It is the first main entry in the Grand Theft Auto series since 2008's Grand Theft Auto IV. Set within the fictional state of San Andreas, based on Southern California, the single-player story follows three protagonists—retired bank robber Michael De Santa, street gangster Franklin Clinton, and drug dealer and arms smuggler Trevor Philips—and their efforts to commit heists while under pressure from a corrupt government agency and powerful crime figures. The open world design lets players freely roam San Andreas' open countryside and the fictional city of Los Santos, based on Los Angeles.\n\nThe game is played from either a third-person or first-person perspective, and its world is navigated on foot or by vehicle. Players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. The story is centred on the heist sequences, and many missions involve shooting and driving gameplay. A ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. Grand Theft Auto Online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.\n\nThe game's development began soon after Grand Theft Auto IV's release and was shared between many of Rockstar's studios worldwide. The development team drew influence from many of their previous projects such as Red Dead Redemption and Max Payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. Much of the development work constituted the open world's creation, and several team members conducted field research around California to capture footage for the design team. The game's soundtrack features an original score composed by a team of producers who collaborated over several years. It was released in September 2013 for PlayStation 3 and Xbox 360, in November 2014 for PlayStation 4 and Xbox One, and April 2015 for Microsoft Windows. PlayStation 5 and Xbox Series X versions are scheduled to release in late 2021.\n\nExtensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. It received widespread critical acclaim, with praise directed at its multiple protagonist design, open world, presentation and gameplay. However, it caused controversies related to its depiction of violence and women. Considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made, it won year-end accolades including Game of the Year awards from several gaming publications. It is the second best-selling video game of all time with over 135 million copies shipped and one of the most financially successful entertainment products of all time, with about $6 billion in worldwide revenue.\n653 people found this helpful.\nHelpful\nUnhelpful",5,653,Good
"Kyle Ellis\n6 months ago\nWarning: Spoilers\n\nTrevor is just love!! He has these tough guy looks and energetic and humorous dialog that makes him better than the other two characters. I think I'll spend the first few weeks playing only him before Michael and franklin.I laughed so hard when he was shouting at the cops chasing after him,he isn't much of a hot-headed guy, he's cool most of the time(at least for the time I was free roaming).Most of the gta fans see him as a sociopath but I think Michael deserves to be called that too.A big thumbs up to the voice actors for bringing life into these characters.\n\nI started exploring the massive world GTA V offers and I must say the craftsmanship is simply stunning. It is clear that it was designed and implemented by people who really wanted to produce something that was revolutionary, and without skimping on the details.It seems almost limitless. From AI cars flashing their high beams when you're driving on the wrong side of the road on a collision course with them, to the seamless integration of the radio stations with the world you're in, to . . . well, a dozen pages could be written on the details alone.\n\nThe world is massive! If one word could sum up the game I think it would be 'detail'. Every aspect of the game is as detailed as possible and it is easily the best game ever made respective of the technological possibility in 2013. For instance, the AI of the people walking down the street is almost creepy, it seems like these are living people. The dialog is truly impressive, I believe that this game could compete with some of the best films around.Fantastic acting, worthy of film awards, breathtaking graphics, beyond realistic physics, and just enthralling game-play make this the first truly next-gen game that goes beyond just better graphics, pushing the limits of what I thought was possible.\n\nRockstar is genius for a making this game so immerse, so realistic, but yet manages to keep that funny, satiric GTA feel. Congrats Rockstar, you deserve your success.\n5 people found this helpful.\nHelpful\nUnhelpful",5,5,Good
"Lil Daw Finn\n3 years ago\nStory Mode: GTA 5 is an action-based game that takes place in the state of San Andreas but in the city of Los Santos. You play as three main protagonists, the first for a Grand Theft Auto game. One of the characters you play as is Michael Townley who fakes his own death to get out of the life of crime under the witness protection of the FIB under a new name, Michael De Santa. He's now living in Los Santos with his two children and his wife, Amanda. Our second main protagonist is Franklin Clinton. Like Michael, Franklin results to a life of crime such as robbing liquor stores and warehouses, anything for some of the needed money. He too lives in Los Santos where he stays with his auntie, Denise. Franklin commits active crimes and does kill gang members but he isn't stupid and he tries to branch out from the hood life so him and his crush Tanisha can live somewhere away from all of it. Our third and final protagonist is Trevor Phillips. He is the first character in GTA that actually works, his personality being a sociopathic narcissist who will kill for fun, actually matches the setting of randomly blowing things up and running people over. Trevor and Michael were buddies back in the old heist days, they'd do scores together until it all went south and Michael faked his own death, leaving Trevor M.I.A only to return later in the game watching the news and hearing about Michael being potentially alive. This game is amazing, which is an understatement but the open world is gigantic with several different landmarks and terrain as you drive around. The gameplay feels smoother than it ever has before, with even faster cars, even bigger guns, and even more people to shoot at. The storyline might not be the most interesting, but actually being able to plan a heist and pick who you want to hack and drive and provide firearms is mental. Making stupid decisions for a heist can also affect how it goes down, you may lose money, someone might die, it's just crazy how in-depth the game gets. The game can get slow at times but if you wanna take a break from the main story, do some side quests which are referred to as ""Strangers and Freaks"". 100% completion of this game doesn't come easy it will take some grinding and some time consumption in order to acquire the 100% you may need to watch YouTube videos for help. Overall the story mode to this game is top-notch and I give RockStar props for creating such a banger of a game.\n1025 people found this helpful.\nHelpful\nUnhelpful",0,1025,Bad
"Delta V20\n2 years ago\nGrand Theft Auto V is a best action,adventure and a fps shooter game with 2 fascinating modes Story mode and Online mode, The developers done a very hard working procedure on making a spellboundic game with breathtaking euphoria physics. The overall story mode experience is 10/10 in my opinion with a lot of mind blowing easter eggs,secrets and plenty of more stuff and also the missions have variety of physics and realism. From 2011 the hype of Grand Theft Auto V was from streets to the skies but it's still have a hype in 2020 like the developers Rockstar games and Rockstar north will make single player Dlc unlike R* said on 2015 they won't make any Dlc for story mode except Online mode but now to remain and increase the hype and get milk i guess they will make a single player dlc which will not be free unlike gta online dlc updates,but then on 2013 the Rockstar services wants to make the Grand theft auto world a real living world by adding multiplayer features in game eh but in 2021 gta online will become a standalone game it will detach from gta v. So on gta online gives all players across the world a overheimengly positive living open world game experience of mutliplayer with tons of different cool dlc updates in game of online mode like refreshing the game mode with tons of various new activities so on the gta online mode made the whole game live a more better life and giving a lot profit for the developers like this game has sold a tons of copys from 2013 to 2020 and so on rockstar games made alot of money from a single game also their isn't a movie which scored a lot of money than gta v.Well so i recommend this game to whom who haven't played yet i recommend it to play once and then you are going to live in this breathtaking open world game. The game is going to be expanded and enhanced on story mode after it's release on PS5. so hang on and hope for the best.\n273 people found this helpful.\nHelpful\nUnhelpful",5,273,Good
"Dan Hughes\n2 years ago\nCredit where credit is due, this game is fairly enjoyable.  The story mode is entertaining and engrossing, Los Santos and the surrounding area feels vibrant and alive, and there are a seemingly infinite amount of things to see and do.  That being said, once you get over the scope of the game and all the tiny details, you begin noticing all of the flawed/broken mechanics.\n\n  Every car handles similarly, regardless of vehicle type, which is to say they all handle poorly.  Traction control is applied at random, and is absent at launch, but present while cornering.  The most mundane econobox and the most visceral hypercar have relatively the same top speed, which isn't very high.  With that in mind, land vehicles are still the ""best"" mode of transportation, even better than walking.  On foot movement is slow and sloppy.  Precise movement is near impossible.  Your character will ragdoll for the silliest of reasons, from trying to walk up a hill, to literally walking on a flat path.  Helicopters are the worst.  Piloting them ranges from slightly annoying to an all-out nightmare.  Flying forward reduces altitude, stopping quickly throws the vehicle in to a fit.  Engaging enemy aircraft is an exercise in anger management.  \n\nFirearms are clunky and underpowered.  Anything short of a headshot requires an excessive amount of rounds to down an enemy combatant, exacerbated by a poorly implemented auto aim system, which is all but necessary when playing with a controller.  The system struggles with even minimal visual obstruction (foliage, leaves), and loses targets at the worst possible moment.\n\nThe story mode has all but been abandoned, not seeing any significant update in years.  All of R*s attention has been focused on the online portion, which doesn't bode well for their dev team.  Load times are insane, lobbies are always overcrowded, and the servers crash constantly, most notably after finishing an activity.  Speaking of the online experience, prepare for one of the most toxic multiplayer experiences to date.  Trying to accomplish a delivery mission?  Some griefer on an Oppressor is about to ruin your day.  Trying to perform one of the randomly generated community events, like driving the longest distance without crashing?  One of the NPCs just crossed the street and t-boned you, even though there is nowhere for them to go on your side of the road (this behavior has apparently been hard coded into the game, because why wouldn't it be?).  So, aside from server issues, enemy players constantly harassing you, and suicidal NPCs flocking towards your speeding vehicle, the rest of the experience is pleasant, right?  No.  \n\nThe absolute worst aspect of the online mode, and the game as a whole, is the economy.  Everything is grossly inflated compared to the story mode (e.g. $1,000,000+ for a Honda Civic, $15,000 shoes), and getting any meaningful amount of money requires grinding the same heists over and over (most of which require a crew and don't pay well), selling goods via your various companies (which also require help, or payout less if completed solo), the new Solo compatible Cayo Perico heist (which is plagued with it's own laundry list of bugs and design flaws), or of course, shark cards (microtransactions), because if you're going to punish your fanbase for playing your over hyped game, why not hit them where they are the most vulnerable: their wallet?\n87 people found this helpful.\nHelpful\nUnhelpful",2,87,Bad
"Jeff Meme663\n3 years ago\nOn launch day, I was one of the people that preordered the power armor edition not even 4 hours after it became available. After hearing so many bad reviews and general disgust about the game, I was worried that the Fallout 76 game I decided to take a chance in and play was going to be shelved and done with in one to two months from launch date like other games I have played. Boy was I wrong. At first, it seemed very hard to grasp whether Bethesda would commit and improve the game. However, since being in the beta stages for the game, I have seen the game improved drastically. Sure, it is not all clean and polished but they are putting updates out every two weeks, which says a lot in terms of improving the game. They have included more patches and fixes to previously buggy and game breaking gameplay. I just wanted to get the correct information out there so I will be explaining some of things they have done so you can see the work they put in for the last 5 to 6 months. I have enjoyed steady and more stable server use as the months go on since launch date. They are cracking down on anything that is viewed as cheating (duping weapons and modded versions of the game). They have increased the storage size to twice the amount since release date, I hope they increase it more in future updates. They even had time to add more content to this game, and they are working on getting more patches. Dungeon will be coming out (so excited to fight strong enemies whenever I enter with a group to see how far we can go). They have made a survival mode pvp server worlds that are different and separate from the pve server worlds in case you do not like pvp and just want to explore the world (also they have implemented a new system where if someone attacks you, you will not receive damage or die from the attacker unless you attack them back). I haven't really come across players that are mean or want to make sure you have a bad time in Fallout 76. For example, I met a good player the other day who gave me a ton of serum mutations that cost about 60-70k in total caps (which is hard to get that amount in fallout 76 especially from vendors) for free without wanting anything in return. Apparently, he gives them out for free to anyone that needs help. So I don't believe everyone in Fallout 76 are toxic players, but some of us try to help each other out when we can. I have enjoyed being able to name my stuff, have stronger and  more farsighted turrets than before.  They have changed the mechanics of some monsters (scorchbeast as an example and spamming attacks). They have fixed more quest buggy issues and helped pool vendors caps together so you dont have to run around looking for caps. They made sure to let vendors have multitude of notes so you don't rely on RNG to get the plan you need for a gun or power armor part. They have gotten rid of the spawning issue for robots in whitesprings. They have started putting good stuff in atomic shop like cool looking power armor. They have put a news and announcement board when you enter into the game. They added a new battle royale mode and already started putting out updates to fix the battle royale mode. Also, they are planning to release human npcs, which will be an awesome addition to the game along with vault raids! nice! These are just some of the updates they have been doing since the game launched and they have been true to their word doing two updates every single month. I am eager to see what other updates they have going forward. Also, I have RECEIVED my new canvas bag, which looks nice if I might add. They fulfilled their promise to deliver this bag in the timeframe they gave us so I do not feel like they scammed me or anything. To me, every dollar well spent, and I am in no way regretting my purchase unlike how others have been making it seem with the classic ""people are still playing this game?"" I can assure you others are playing and like me we will be playing it for quite a while.\n332 people found this helpful.\nHelpful\nUnhelpful",0,332,Bad
"Kanishk Mishra\na year ago\nMy go-to game when I've had enough of the real world and want to escape reality for some time. Expands well upon that one mechanic every other GTA title missed - immersion. Drive around the posh Vinewood streets looking for exotic sports cars or explore the Grand Senora Desert and expect random encounters with muggers or hitchhikers, or take a U-turn and climb Mt. Chiliad, to feel on top of the world. The game comes with endless hours of gameplay even after completing all the missions, and the first-person mode coupled with your own tracks makes even aimless driving feel fun. The only downside is the wanted level system, which activates even when you stealthily kill a random NPC in the middle of the desert in the dead of the night. Nevertheless, the game is efficiently optimized on all its ports, which allows it to run even on low-end machines. The gameplay physics is spectacular, but in no way you must expect it to be near real-life since GTA V's not supposed to be a simulation game. In the end, this game will make you forget all your real-life problems for a while, as you step into the shoes of either Franklin, Michael or Trevor and feel the Los Santos sensation.\n46 people found this helpful.\nHelpful\nUnhelpful",5,46,Good
