comments,rating,helpful,label
So fun and the characters are hilarious,5,0,Good
Arrived quickly in great condition,5,0,Good
Ha ha Stress relief by blowing stuff up in this game. :-P,5,0,Good
Super product Delivery Before time consistent with the product description nothing to say  full good product go visit shop for me very satisfied in addition these compatible  with PS5,5,0,Good
"I don't understand why this game is still played, badly designed and has the worst online experience ever...",3,1,Normal
Thank you I got it today October 21 2021.After I got home from work ..  god bless Thankk you for advice me about the delay.  The game works great,5,0,Good
"Just got the game in the mail. Kinda disappointed that it's in Spanish or French, I know neither. Turning it to English (or Japanese) is easy enough, but the maps would have been nice in English. I had this on 360 and as long as it's got all the updated play for PS4 I am happy.Delivery was on time and the game plays well.",4,3,Good
"I like this game, and hopefully, it works good on my ps4, I just bought it. But my only question is why is all the info on the back of the box, the map, the booklets, all not in English??? This happened when I bought this for xbox360 too... It's confusing is there a reason for that???",4,0,Good
"Game is kind of buggy compared to ps3 version. Airplane missions for Trevor stop producing money after 5 or 6 times. Also, game is significantly easier in a lot of small ways. Eg, buried tires at Trevor's airfield are lower, making the buggy missions easier so you don't get high-centered with the buggy. Makes the game less challenging and more boring. Also, the helos give up too easy. More fun to have to shoot them down in order to complete a mission. Starter version.",3,1,Normal
Bon Jeu,5,0,Good
"Bought this on a whim after watching a YouTuber play it on Steam Edition online....still have to see if I can unlock characters like the Hulk or not with it....if I can bonus....if not, it is one of those games I will rarely play.",5,1,Good
"Pretty dope game ,worth giving it a try",4,0,Good
As described,5,0,Good
"I gave the game to my nephew Steve believing that an extension for the games was an extension. His parents witnessing Jehovas noticed that his was no longer going when the little one began to wear bandanas and took an interest in rap. Phew! A whole party gift for a 7 year old guy. We haven't had any contact with the parents since, which is why I give 5 stars.",5,20,Good
Quickest delivery ever!Loved it! Thanks so much.,5,0,Good
Excellent,4,0,Good
I like this game. It is good.,5,0,Good
"Value for money, it's perfect.  It's a Christmas present so, it only remains to try it in 1 month.",5,0,Good
Product arrived almost a week late then the eta and was also not trackable.But the game and the case were nice and fun to play,5,0,Good
"Works good, brand new awesome quality",5,0,Good
The game works great but I’m pretty sure it had been previously opened because it was not wrapped,4,0,Good
It's good,4,0,Good
it really worried me but game is still fun but im kinda disappointed the map was in Spanish buy i cant complain because it came in early,3,0,Normal
Showed up packaged. Not damaged or scratched. Is a great game transparent seller etc etc. Would buy from this seller again.,5,0,Good
Delivery was really quick! Came well packaged! The game is fun!,5,0,Good
"GTA 5 in disc is worth it, very good product.",5,0,Good
For older player explicit content,3,0,Normal
"Great Game, For An Amazing Price!Highly Recommended!!",5,0,Good
My brother really likes taking jumps and landing on civilians while cruising around.I am not a big fan of the violence and violence against women in this game.,3,4,Normal
Came in early. My kids bsolutely love it.,5,0,Good
"Amazing game, when I bought it I got Premium Edition and got some free cars and $1,000,000 for GTA online",5,0,Good
Poison,4,0,Good
The game i got is in spanish. I am pretty sure you can change language but all papers which come with it are in spanish and box too,3,0,Normal
Gift for my grandson.  Loved it,5,0,Good
I liked the packaging mainly. But knowing the fact it's not damaged is terrific! Thank you so much!,4,0,Good
"Package in excellent condition, fast delivery, and the game everyone knows it's an excellent game recommended.",5,0,Good
"Works Well, Great Value.",5,0,Good
Arrived early. Love this game.,5,0,Good
"Im not big on driving games but my wife loves it, so thats good enough for me",5,4,Good
Liked the price better than the retail one. :),4,0,Good
Needs some updates or new missions,4,0,Good
Nice updated version of the 2013 classic game.,5,0,Good
:OK_hand::heart_suit:,5,0,Good
Has anyone not bought this yet? Finished the story a few weeks ago and thoroughly enjoyed the ending. Looking forward to doing more exploring and side missions,5,1,Good
Classic game..  came brand new... a  bit expensive,5,0,Good
Fiance wanted this game at Christmas but couldn't find it. Great deal and made him happy to see this arrive to our home. Brownie points for me lol,5,0,Good
"Love the game, I got the platinum package.",5,0,Good
"Nice,its brand new and could support different languages！Perfect",5,0,Good
Good,5,0,Good
Why shop anywhere else,5,0,Good
Came on time loved the game on ps3 will love the game on PS4,5,0,Good
"Cheap, not damaged",5,0,Good
Personal use.i like it!,5,0,Good
Came Quick. Fun Game.,5,0,Good
It worked perfectly fine. it didnt mention the region but when the game came it was region all.,5,0,Good
Effective,5,0,Good
5*,5,0,Good
Haven't played this since last gen. Looks a bit dated but still fun as hell.,5,0,Good
Wonderful game remind an old man (47) of the original but perhaps a little too much swearing and American slang for me.,5,0,Good
"Hello, I would not recommend this product as I purchased it and it did not arrive as described, it didn’t show up at all. Would not recommend.",1,0,Bad
"Fast delivery and good price,",5,0,Good
:smiling_face_with_smiling_eyes: tank you,5,0,Good
No problems. Good product! Fun game! Game first updates over night then bam! Straight into playing!,5,0,Good
For a gift to my grandson,5,0,Good
"Exactly what I expected from this game, a classic like!",5,1,Good
"Was a gift to my grandson, he like it",5,0,Good
Played the heck out of it on PS3 and always wanted the PS4 version. Needed something until Red Dead Redemption 2 comes out.,5,0,Good
Perfect valentines gift for the bf. Has kept him busy for days and I love it.,5,0,Good
Plays gta.,5,0,Good
Great game,5,1,Good
Great game,5,0,Good
Best game ever good quality,5,0,Good
Ok,5,0,Good
Really like it.,4,0,Good
Parfait,5,0,Good
Reasonable price. Quick expedition!,5,1,Good
Even better than the PS3 version,5,0,Good
"Good game, however the disc doesn't work!!",4,0,Good
Disk was in perfect shape no scratches!  The game was delivered on time and was exactly as described!,5,0,Good
Awesome,5,0,Good
This game is fun to play.,5,4,Good
:thumbs_up::thumbs_up::thumbs_up:,5,0,Good
It was a gift and he loved it,5,0,Good
"Very appreciated, good product",5,1,Good
Super,5,0,Good
Super,5,0,Good
"I advise you with $ 25,000 of bonuses on GTA5 online",5,1,Good
Love this game,5,0,Good
already finished hehe. GTAholic hahahaha.,5,0,Good
Came Quick Good Price Amazing Game,5,0,Good
Such a shame. The playing on this isn't smooth. I like GTA 3 on my PS2 more and that says something! (Considering GTA 3 is like the worst of them).,2,3,Bad
Fun,5,0,Good
Good quality I advise this article to the gta fan,5,1,Good
A very fun game,5,0,Good
Great product and fast delivery.,5,0,Good
Hours and hours and even more fun !!,5,0,Good
It is a great product,5,0,Good
Item just as described :smiling_face:,5,0,Good
Great Xmas gift for a great friend.... he loves it!,5,0,Good
Great,5,0,Good
Nothing more needs saying.,5,0,Good
Great game,5,0,Good
"It was very good. Works perfectly, no scratches no problem",5,0,Good
The CD was scratched ... it was not well put in the case ... and the case is cracked ... Disappointed but I give 2 stars because it works anyway,2,1,Bad
Good x 3  Fast Delivery  Very Fun  Support Korean,5,0,Good
Works great.,5,0,Good
Super,5,0,Good
Incredible game nothing more to say.,5,0,Good
I PLAY online ALL the tIMe,5,0,Good
Thank You,5,0,Good
Parfait,5,1,Good
very good. Works well without issues,5,0,Good
Great game,5,0,Good
Super games,5,0,Good
Great,5,0,Good
Works perfectly,5,0,Good
Item is no longer needed - it was a Christmas present for our grandchild - very disappointing,1,0,Bad
Good product and very fast shipping,5,2,Good
I bought this copy and my PS4 pro recognized the disc I returned the copy to be reimbursed,1,0,Bad
i got it and it didnnnt even work it wouldnt install,1,0,Bad
The game works super well!,5,0,Good
"Shipped so fast!  Son loves the game, dad loved the price!!",5,0,Good
Great game,5,0,Good
Nice quality and fast delivery,5,0,Good
Very fast delivery great game for a great price thank you I'd buy from you again,5,0,Good
Awsomethnk u,5,0,Good
It’s good,5,0,Good
Great game,5,0,Good
A +++,5,0,Good
Best game ever,5,1,Good
Received well before the scheduled date. Excellent! I highly recommend.,5,0,Good
got here faster then we thought it would.,5,0,Good
