comments,rating,helpful,label
"even 8 years later, this game is easily one of the best that you can buy.whilst gta online has gone in a direction i don't like - and wouldn't really recommend in engaging very much with to complete newcomers by this stage - i can't ignore that it still has thousands of hours to offer players across a variety of different activities - there's something for everyone in gta online and it will also make them money whilst they're at it.single player is also undeniably a brilliant experience. even though it will take you a while to get through to the end of the story, there's really no excuse for not playing it through at least once.a lot of us have got a bit tired of this game in the many years since it's original release, but from an objective point of view, even if this game released for the very first time this year, it would still be one of the best video games ever made and blow us all away.the driving is much easier than gta 4, literally anyone can be a decent driver in gta 5 unless you have brain damage, but i guess it makes it more accessible, lol. shooting is also much improved and is high quality, and those two elements combined with many others, including but not limited to the excellent map, make this game a perfect sandbox.",5,262,Good
"even 8 years later, this game is easily one of the best that you can buy.whilst gta online has gone in a direction i don't like - and wouldn't really recommend in engaging very much with to complete newcomers by this stage - i can't ignore that it still has thousands of hours to offer players across a variety of different activities - there's something for everyone in gta online and it will also make them money whilst they're at it.single player is also undeniably a brilliant experience. even though it will take you a while to get through to the end of the story, there's really no excuse for not playing it through at least once.a lot of us have got a bit tired of this game in the many years since it's original release, but from an objective point of view, even if this game released for the very first time this year, it would still be one of the best video games ever made and blow us all away.the driving is much easier than gta 4, literally anyone can be a decent driver in gta 5 unless you have brain damage, but i guess it makes it more accessible, lol. shooting is also much improved and is high quality, and those two elements combined with many others, including but not limited to the excellent map, make this game a perfect sandbox.",5,217,Good
"grand theft auto v is a 2013 action-adventure game developed by rockstar north and published by rockstar games. it is the first main entry in the grand theft auto series since 2008's grand theft auto iv. set within the fictional state of san andreas, based on southern california, the single-player story follows three protagonists—retired bank robber michael de santa, street gangster franklin clinton, and drug dealer and arms smuggler trevor philips—and their efforts to commit heists while under pressure from a corrupt government agency and powerful crime figures. the open world design lets players freely roam san andreas' open countryside and the fictional city of los santos, based on los angeles.the game is played from either a third-person or first-person perspective, and its world is navigated on foot or by vehicle. players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. the story is centred on the heist sequences, and many missions involve shooting and driving gameplay. a ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. grand theft auto online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.the game's development began soon after grand theft auto iv's release and was shared between many of rockstar's studios worldwide. the development team drew influence from many of their previous projects such as red dead redemption and max payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. much of the development work constituted the open world's creation, and several team members conducted field research around california to capture footage for the design team. the game's soundtrack features an original score composed by a team of producers who collaborated over several years. it was released in september 2013 for playstation 3 and xbox 360, in november 2014 for playstation 4 and xbox one, and april 2015 for microsoft windows. playstation 5 and xbox series x versions are scheduled to release in late 2021.extensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. it received widespread critical acclaim, with praise directed at its multiple protagonist design, open world, presentation and gameplay. however, it caused controversies related to its depiction of violence and women. considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made, it won year-end accolades including game of the year awards from several gaming publications. it is the second best-selling video game of all time with over 135 million copies shipped and one of the most financially successful entertainment products of all time, with about $6 billion in worldwide revenue.",5,51,Good
"grand theft auto v is a 2013 action-adventure game developed by rockstar north and published by rockstar games. it is the first main entry in the grand theft auto series since 2008's grand theft auto iv. set within the fictional state of san andreas, based on southern california, the single-player story follows three protagonists—retired bank robber michael de santa, street gangster franklin clinton, and drug dealer and arms smuggler trevor philips—and their efforts to commit heists while under pressure from a corrupt government agency and powerful crime figures. the open world design lets players freely roam san andreas' open countryside and the fictional city of los santos, based on los angeles.the game is played from either a third-person or first-person perspective, and its world is navigated on foot or by vehicle. players control the three lead protagonists throughout single-player and switch among them, both during and outside missions. the story is centred on the heist sequences, and many missions involve shooting and driving gameplay. a ""wanted"" system governs the aggression of law enforcement response to players who commit crimes. grand theft auto online, the game's online multiplayer mode, lets up to 30 players engage in a variety of different cooperative and competitive game modes.the game's development began soon after grand theft auto iv's release and was shared between many of rockstar's studios worldwide. the development team drew influence from many of their previous projects such as red dead redemption and max payne 3 and designed the game around three lead protagonists to innovate on the core structure of its predecessors. much of the development work constituted the open world's creation, and several team members conducted field research around california to capture footage for the design team. the game's soundtrack features an original score composed by a team of producers who collaborated over several years. it was released in september 2013 for playstation 3 and xbox 360, in november 2014 for playstation 4 and xbox one, and april 2015 for microsoft windows. playstation 5 and xbox series x versions are scheduled to release in late 2021.extensively marketed and widely anticipated, the game broke industry sales records and became the fastest-selling entertainment product in history, earning $800 million in its first day and $1 billion in its first three days. it received widespread critical acclaim, with praise directed at its multiple protagonist design, open world, presentation and gameplay. however, it caused controversies related to its depiction of violence and women. considered one of seventh and eighth generation console gaming's most significant titles and among the best video games ever made, it won year-end accolades including game of the year awards from several gaming publications. it is the second best-selling video game of all time with over 135 million copies shipped and one of the most financially successful entertainment products of all time, with about $6 billion in worldwide revenue.",5,653,Good
"warning: spoilerstrevor is just love!! he has these tough guy looks and energetic and humorous dialog that makes him better than the other two characters. i think i'll spend the first few weeks playing only him before michael and franklin.i laughed so hard when he was shouting at the cops chasing after him,he isn't much of a hot-headed guy, he's cool most of the time(at least for the time i was free roaming).most of the gta fans see him as a sociopath but i think michael deserves to be called that too.a big thumbs up to the voice actors for bringing life into these characters.i started exploring the massive world gta v offers and i must say the craftsmanship is simply stunning. it is clear that it was designed and implemented by people who really wanted to produce something that was revolutionary, and without skimping on the details.it seems almost limitless. from ai cars flashing their high beams when you're driving on the wrong side of the road on a collision course with them, to the seamless integration of the radio stations with the world you're in, to . . . well, a dozen pages could be written on the details alone.the world is massive! if one word could sum up the game i think it would be 'detail'. every aspect of the game is as detailed as possible and it is easily the best game ever made respective of the technological possibility in 2013. for instance, the ai of the people walking down the street is almost creepy, it seems like these are living people. the dialog is truly impressive, i believe that this game could compete with some of the best films around.fantastic acting, worthy of film awards, breathtaking graphics, beyond realistic physics, and just enthralling game-play make this the first truly next-gen game that goes beyond just better graphics, pushing the limits of what i thought was possible.rockstar is genius for a making this game so immerse, so realistic, but yet manages to keep that funny, satiric gta feel. congrats rockstar, you deserve your success.",5,5,Good
"story mode: gta 5 is an action-based game that takes place in the state of san andreas but in the city of los santos. you play as three main protagonists, the first for a grand theft auto game. one of the characters you play as is michael townley who fakes his own death to get out of the life of crime under the witness protection of the fib under a new name, michael de santa. he's now living in los santos with his two children and his wife, amanda. our second main protagonist is franklin clinton. like michael, franklin results to a life of crime such as robbing liquor stores and warehouses, anything for some of the needed money. he too lives in los santos where he stays with his auntie, denise. franklin commits active crimes and does kill gang members but he isn't stupid and he tries to branch out from the hood life so him and his crush tanisha can live somewhere away from all of it. our third and final protagonist is trevor phillips. he is the first character in gta that actually works, his personality being a sociopathic narcissist who will kill for fun, actually matches the setting of randomly blowing things up and running people over. trevor and michael were buddies back in the old heist days, they'd do scores together until it all went south and michael faked his own death, leaving trevor m.i.a only to return later in the game watching the news and hearing about michael being potentially alive. this game is amazing, which is an understatement but the open world is gigantic with several different landmarks and terrain as you drive around. the gameplay feels smoother than it ever has before, with even faster cars, even bigger guns, and even more people to shoot at. the storyline might not be the most interesting, but actually being able to plan a heist and pick who you want to hack and drive and provide firearms is mental. making stupid decisions for a heist can also affect how it goes down, you may lose money, someone might die, it's just crazy how in-depth the game gets. the game can get slow at times but if you wanna take a break from the main story, do some side quests which are referred to as ""strangers and freaks"". 100% completion of this game doesn't come easy it will take some grinding and some time consumption in order to acquire the 100% you may need to watch youtube videos for help. overall the story mode to this game is top-notch and i give rockstar props for creating such a banger of a game.",0,1025,Bad
"grand theft auto v is a best action,adventure and a fps shooter game with 2 fascinating modes story mode and online mode, the developers done a very hard working procedure on making a spellboundic game with breathtaking euphoria physics. the overall story mode experience is 10/10 in my opinion with a lot of mind blowing easter eggs,secrets and plenty of more stuff and also the missions have variety of physics and realism. from 2011 the hype of grand theft auto v was from streets to the skies but it's still have a hype in 2020 like the developers rockstar games and rockstar north will make single player dlc unlike r* said on 2015 they won't make any dlc for story mode except online mode but now to remain and increase the hype and get milk i guess they will make a single player dlc which will not be free unlike gta online dlc updates,but then on 2013 the rockstar services wants to make the grand theft auto world a real living world by adding multiplayer features in game eh but in 2021 gta online will become a standalone game it will detach from gta v. so on gta online gives all players across the world a overheimengly positive living open world game experience of mutliplayer with tons of different cool dlc updates in game of online mode like refreshing the game mode with tons of various new activities so on the gta online mode made the whole game live a more better life and giving a lot profit for the developers like this game has sold a tons of copys from 2013 to 2020 and so on rockstar games made alot of money from a single game also their isn't a movie which scored a lot of money than gta v.well so i recommend this game to whom who haven't played yet i recommend it to play once and then you are going to live in this breathtaking open world game. the game is going to be expanded and enhanced on story mode after it's release on ps5. so hang on and hope for the best.",5,273,Good
"credit where credit is due, this game is fairly enjoyable.  the story mode is entertaining and engrossing, los santos and the surrounding area feels vibrant and alive, and there are a seemingly infinite amount of things to see and do.  that being said, once you get over the scope of the game and all the tiny details, you begin noticing all of the flawed/broken mechanics.  every car handles similarly, regardless of vehicle type, which is to say they all handle poorly.  traction control is applied at random, and is absent at launch, but present while cornering.  the most mundane econobox and the most visceral hypercar have relatively the same top speed, which isn't very high.  with that in mind, land vehicles are still the ""best"" mode of transportation, even better than walking.  on foot movement is slow and sloppy.  precise movement is near impossible.  your character will ragdoll for the silliest of reasons, from trying to walk up a hill, to literally walking on a flat path.  helicopters are the worst.  piloting them ranges from slightly annoying to an all-out nightmare.  flying forward reduces altitude, stopping quickly throws the vehicle in to a fit.  engaging enemy aircraft is an exercise in anger management.  firearms are clunky and underpowered.  anything short of a headshot requires an excessive amount of rounds to down an enemy combatant, exacerbated by a poorly implemented auto aim system, which is all but necessary when playing with a controller.  the system struggles with even minimal visual obstruction (foliage, leaves), and loses targets at the worst possible moment.the story mode has all but been abandoned, not seeing any significant update in years.  all of r*s attention has been focused on the online portion, which doesn't bode well for their dev team.  load times are insane, lobbies are always overcrowded, and the servers crash constantly, most notably after finishing an activity.  speaking of the online experience, prepare for one of the most toxic multiplayer experiences to date.  trying to accomplish a delivery mission?  some griefer on an oppressor is about to ruin your day.  trying to perform one of the randomly generated community events, like driving the longest distance without crashing?  one of the npcs just crossed the street and t-boned you, even though there is nowhere for them to go on your side of the road (this behavior has apparently been hard coded into the game, because why wouldn't it be?).  so, aside from server issues, enemy players constantly harassing you, and suicidal npcs flocking towards your speeding vehicle, the rest of the experience is pleasant, right?  no.  the absolute worst aspect of the online mode, and the game as a whole, is the economy.  everything is grossly inflated compared to the story mode (e.g. $1,000,000+ for a honda civic, $15,000 shoes), and getting any meaningful amount of money requires grinding the same heists over and over (most of which require a crew and don't pay well), selling goods via your various companies (which also require help, or payout less if completed solo), the new solo compatible cayo perico heist (which is plagued with it's own laundry list of bugs and design flaws), or of course, shark cards (microtransactions), because if you're going to punish your fanbase for playing your over hyped game, why not hit them where they are the most vulnerable: their wallet?",2,87,Bad
"on launch day, i was one of the people that preordered the power armor edition not even 4 hours after it became available. after hearing so many bad reviews and general disgust about the game, i was worried that the fallout 76 game i decided to take a chance in and play was going to be shelved and done with in one to two months from launch date like other games i have played. boy was i wrong. at first, it seemed very hard to grasp whether bethesda would commit and improve the game. however, since being in the beta stages for the game, i have seen the game improved drastically. sure, it is not all clean and polished but they are putting updates out every two weeks, which says a lot in terms of improving the game. they have included more patches and fixes to previously buggy and game breaking gameplay. i just wanted to get the correct information out there so i will be explaining some of things they have done so you can see the work they put in for the last 5 to 6 months. i have enjoyed steady and more stable server use as the months go on since launch date. they are cracking down on anything that is viewed as cheating (duping weapons and modded versions of the game). they have increased the storage size to twice the amount since release date, i hope they increase it more in future updates. they even had time to add more content to this game, and they are working on getting more patches. dungeon will be coming out (so excited to fight strong enemies whenever i enter with a group to see how far we can go). they have made a survival mode pvp server worlds that are different and separate from the pve server worlds in case you do not like pvp and just want to explore the world (also they have implemented a new system where if someone attacks you, you will not receive damage or die from the attacker unless you attack them back). i haven't really come across players that are mean or want to make sure you have a bad time in fallout 76. for example, i met a good player the other day who gave me a ton of serum mutations that cost about 60-70k in total caps (which is hard to get that amount in fallout 76 especially from vendors) for free without wanting anything in return. apparently, he gives them out for free to anyone that needs help. so i don't believe everyone in fallout 76 are toxic players, but some of us try to help each other out when we can. i have enjoyed being able to name my stuff, have stronger and  more farsighted turrets than before.  they have changed the mechanics of some monsters (scorchbeast as an example and spamming attacks). they have fixed more quest buggy issues and helped pool vendors caps together so you dont have to run around looking for caps. they made sure to let vendors have multitude of notes so you don't rely on rng to get the plan you need for a gun or power armor part. they have gotten rid of the spawning issue for robots in whitesprings. they have started putting good stuff in atomic shop like cool looking power armor. they have put a news and announcement board when you enter into the game. they added a new battle royale mode and already started putting out updates to fix the battle royale mode. also, they are planning to release human npcs, which will be an awesome addition to the game along with vault raids! nice! these are just some of the updates they have been doing since the game launched and they have been true to their word doing two updates every single month. i am eager to see what other updates they have going forward. also, i have received my new canvas bag, which looks nice if i might add. they fulfilled their promise to deliver this bag in the timeframe they gave us so i do not feel like they scammed me or anything. to me, every dollar well spent, and i am in no way regretting my purchase unlike how others have been making it seem with the classic ""people are still playing this game?"" i can assure you others are playing and like me we will be playing it for quite a while.",0,332,Bad
"my go-to game when i've had enough of the real world and want to escape reality for some time. expands well upon that one mechanic every other gta title missed - immersion. drive around the posh vinewood streets looking for exotic sports cars or explore the grand senora desert and expect random encounters with muggers or hitchhikers, or take a u-turn and climb mt. chiliad, to feel on top of the world. the game comes with endless hours of gameplay even after completing all the missions, and the first-person mode coupled with your own tracks makes even aimless driving feel fun. the only downside is the wanted level system, which activates even when you stealthily kill a random npc in the middle of the desert in the dead of the night. nevertheless, the game is efficiently optimized on all its ports, which allows it to run even on low-end machines. the gameplay physics is spectacular, but in no way you must expect it to be near real-life since gta v's not supposed to be a simulation game. in the end, this game will make you forget all your real-life problems for a while, as you step into the shoes of either franklin, michael or trevor and feel the los santos sensation.",5,46,Good
